,Mkt-RF,SMB,HML,RMW,CMA,RF
20190207,-0.93,-0.13,0.38,0.54,0.3,0.01
20190208,0.09,-0.08,-0.7,-0.34,-0.11,0.01
20190211,0.14,0.66,0.22,-0.09,-0.02,0.01
20190212,1.36,0.04,-0.19,-0.09,-0.24,0.01
20190213,0.28,0.07,0.06,0.1,0.2,0.01
20190214,-0.21,0.53,-0.57,0.4,-0.16,0.01
20190215,1.13,0.37,0.47,-0.22,0.02,0.01
20190219,0.19,0.31,0.29,0.04,0.22,0.01
20190220,0.19,0.3,0.55,0.0,-0.25,0.01
20190221,-0.37,-0.03,-0.21,0.58,0.1,0.01
20190222,0.65,0.39,-1.46,0.32,-0.62,0.01
20190225,0.15,-0.24,-0.18,-0.77,-0.51,0.01
20190226,-0.16,-0.68,-0.3,0.08,-0.15,0.01
20190227,0.09,0.16,-0.11,-0.66,-0.11,0.01
20190228,-0.31,-0.01,-0.24,0.3,0.14,0.01
20190301,0.72,0.25,-0.41,-0.33,-0.19,0.009
20190304,-0.52,-0.41,0.37,0.11,-0.08,0.009
20190305,-0.17,-0.32,-0.23,0.28,-0.03,0.009
20190306,-0.84,-1.23,0.07,0.54,0.12,0.009
20190307,-0.82,-0.05,-0.32,-0.35,0.14,0.009
20190308,-0.22,0.06,-0.17,-0.11,-0.29,0.009
20190311,1.49,0.27,-0.54,-0.28,-0.46,0.009
20190312,0.25,-0.3,-0.09,-0.42,0.01,0.009
20190313,0.68,-0.33,0.08,-0.18,0.16,0.009
20190314,-0.1,-0.38,0.3,-0.15,-0.12,0.009
20190315,0.48,-0.26,-0.27,-0.05,-0.21,0.009
20190318,0.46,0.2,0.43,-0.09,-0.09,0.009
20190319,-0.09,-0.47,-0.92,0.03,-0.08,0.009
20190320,-0.39,-0.22,-1.02,-0.16,-0.27,0.009
20190321,1.11,0.17,-1.24,0.34,-0.34,0.009
20190322,-2.17,-1.56,-0.06,0.55,0.58,0.009
20190325,-0.05,0.61,-0.27,0.22,0.04,0.009
